arm,feature,label,task,hormone,n,raw_rho,partial_rho
peripheral,egemaps_HNRdBACF_sma3nz_amean,Clarity (HNR),prosody,e3g,29,0.35320197044334967,0.08777776733332701
peripheral,egemaps_HNRdBACF_sma3nz_amean,Clarity (HNR),prosody,pdg,29,0.40492610837438414,0.3489244296469702
peripheral,egemaps_HNRdBACF_sma3nz_amean,Clarity (HNR),prosody,ep_ratio,29,-0.12068965517241378,-0.23708327833188675
peripheral,egemaps_jitterLocal_sma3nz_amean,Jitter,prosody,e3g,29,0.003940886699507388,0.024534837699074195
peripheral,egemaps_jitterLocal_sma3nz_amean,Jitter,prosody,pdg,29,0.12906403940886696,0.1411877561713859
peripheral,egemaps_jitterLocal_sma3nz_amean,Jitter,prosody,ep_ratio,29,-0.1133004926108374,-0.11011175394275496
peripheral,egemaps_shimmerLocaldB_sma3nz_amean,Shimmer,prosody,e3g,29,-0.2527093596059113,-0.08534007422415867
peripheral,egemaps_shimmerLocaldB_sma3nz_amean,Shimmer,prosody,pdg,29,-0.31576354679802954,-0.2545519927242323
peripheral,egemaps_shimmerLocaldB_sma3nz_amean,Shimmer,prosody,ep_ratio,29,0.05418719211822659,0.10247387702699878
peripheral,egemaps_alphaRatioV_sma3nz_amean,Alpha ratio (spectral tilt),prosody,e3g,29,-0.16995073891625612,0.053806869418445695
peripheral,egemaps_alphaRatioV_sma3nz_amean,Alpha ratio (spectral tilt),prosody,pdg,29,-0.3551724137931034,-0.2922701577824038
peripheral,egemaps_alphaRatioV_sma3nz_amean,Alpha ratio (spectral tilt),prosody,ep_ratio,29,0.24433497536945803,0.32741078375726634
peripheral,egemaps_hammarbergIndexV_sma3nz_amean,Hammarberg index (spectral tilt),prosody,e3g,29,0.3088669950738916,0.14015733624977827
peripheral,egemaps_hammarbergIndexV_sma3nz_amean,Hammarberg index (spectral tilt),prosody,pdg,29,0.4778325123152708,0.43419155648695335
peripheral,egemaps_hammarbergIndexV_sma3nz_amean,Hammarberg index (spectral tilt),prosody,ep_ratio,29,-0.289655172413793,-0.36784566112961814
peripheral,egemaps_slopeV0-500_sma3nz_amean,Spectral slope 0-500 Hz,prosody,e3g,29,0.06305418719211821,0.017755182451074245
peripheral,egemaps_slopeV0-500_sma3nz_amean,Spectral slope 0-500 Hz,prosody,pdg,29,0.21231527093596053,0.19558641906488064
peripheral,egemaps_slopeV0-500_sma3nz_amean,Spectral slope 0-500 Hz,prosody,ep_ratio,29,-0.13694581280788173,-0.14871761508744594
peripheral,egemaps_slopeV500-1500_sma3nz_amean,Spectral slope 500-1500 Hz,prosody,e3g,29,0.28275862068965507,0.20391122054228875
peripheral,egemaps_slopeV500-1500_sma3nz_amean,Spectral slope 500-1500 Hz,prosody,pdg,29,-0.10591133004926105,-0.16562545907854284
peripheral,egemaps_slopeV500-1500_sma3nz_amean,Spectral slope 500-1500 Hz,prosody,ep_ratio,29,0.26059113300492603,0.24517655998910318
peripheral,egemaps_logRelF0-H1-H2_sma3nz_amean,Open quotient (H1-H2),prosody,e3g,29,0.20344827586206893,-0.029334954830422266
peripheral,egemaps_logRelF0-H1-H2_sma3nz_amean,Open quotient (H1-H2),prosody,pdg,29,0.04630541871921181,-0.07225465607154165
peripheral,egemaps_logRelF0-H1-H2_sma3nz_amean,Open quotient (H1-H2),prosody,ep_ratio,29,0.11576354679802954,0.07684603212872221
peripheral,egemaps_logRelF0-H1-A3_sma3nz_amean,Source tilt (H1-A3),prosody,e3g,29,0.11231527093596057,-0.011683316951473477
peripheral,egemaps_logRelF0-H1-A3_sma3nz_amean,Source tilt (H1-A3),prosody,pdg,29,0.3231527093596058,0.2814294038165126
peripheral,egemaps_logRelF0-H1-A3_sma3nz_amean,Source tilt (H1-A3),prosody,ep_ratio,29,-0.22709359605911325,-0.26400342137932525
peripheral,egemaps_mfcc1V_sma3nz_amean,Timbre MFCC1 (brightness),prosody,e3g,29,0.13152709359605907,0.04912633936808183
peripheral,egemaps_mfcc1V_sma3nz_amean,Timbre MFCC1 (brightness),prosody,pdg,29,0.24236453201970437,0.20891613326562294
peripheral,egemaps_mfcc1V_sma3nz_amean,Timbre MFCC1 (brightness),prosody,ep_ratio,29,-0.1571428571428571,-0.18054505191375492
peripheral,egemaps_mfcc2V_sma3nz_amean,Timbre MFCC2 (low-vs-mid colour),prosody,e3g,29,0.2428571428571428,0.12142700721053551
peripheral,egemaps_mfcc2V_sma3nz_amean,Timbre MFCC2 (low-vs-mid colour),prosody,pdg,29,0.4463054187192117,0.4079124446329363
peripheral,egemaps_mfcc2V_sma3nz_amean,Timbre MFCC2 (low-vs-mid colour),prosody,ep_ratio,29,-0.3142857142857142,-0.36318685087207264
peripheral,egemaps_mfcc3V_sma3nz_amean,Timbre MFCC3,prosody,e3g,29,-0.07142857142857141,-0.0670174782915101
